POA_CODE_2021,POA_NAME_2021,LHD_CODE,lhd_name,FRAC_INCLUDED
2748,2748,X750,Nepean Blue Mountains Local Health District,1.00
2749,2749,X750,Nepean Blue Mountains Local Health District,1.00
2750,2750,X750,Nepean Blue Mountains Local Health District,1.00
2752,2752,X710,South Western Sydney Local Health District,1.00
2753,2753,X750,Nepean Blue Mountains Local Health District,1.00
2754,2754,X750,Nepean Blue Mountains Local Health District,1.00
2756,2756,X740,Western Sydney Local Health District,0.09
2756,2756,X750,Nepean Blue Mountains Local Health District,0.90
2756,2756,X760,Northern Sydney Local Health District,0.01
2757,2757,X750,Nepean Blue Mountains Local Health District,1.00
2758,2758,X750,Nepean Blue Mountains Local Health District,1.00
2759,2759,X750,Nepean Blue Mountains Local Health District,1.00
2760,2760,X740,Western Sydney Local Health District,0.13
2760,2760,X750,Nepean Blue Mountains Local Health District,0.87
2761,2761,X740,Western Sydney Local Health District,1.00
2762,2762,X740,Western Sydney Local Health District,1.00
2763,2763,X740,Western Sydney Local Health District,1.00
2765,2765,X740,Western Sydney Local Health District,0.59
2765,2765,X750,Nepean Blue Mountains Local Health District,0.41
2766,2766,X710,South Western Sydney Local Health District,0.00
2766,2766,X740,Western Sydney Local Health District,1.00
2767,2767,X740,Western Sydney Local Health District,1.00
2768,2768,X740,Western Sydney Local Health District,1.00
2769,2769,X740,Western Sydney Local Health District,1.00
2770,2770,X740,Western Sydney Local Health District,1.00
2773,2773,X750,Nepean Blue Mountains Local Health District,1.00
2774,2774,X750,Nepean Blue Mountains Local Health District,1.00
2775,2775,X740,Western Sydney Local Health District,0.01
2775,2775,X750,Nepean Blue Mountains Local Health District,0.78
2775,2775,X760,Northern Sydney Local Health District,0.04
2775,2775,X770,Central Coast Local Health District,0.16
2776,2776,X750,Nepean Blue Mountains Local Health District,1.00
2777,2777,X750,Nepean Blue Mountains Local Health District,1.00
2778,2778,X750,Nepean Blue Mountains Local Health District,1.00
2779,2779,X750,Nepean Blue Mountains Local Health District,1.00
2780,2780,X750,Nepean Blue Mountains Local Health District,1.00
2782,2782,X750,Nepean Blue Mountains Local Health District,1.00
2783,2783,X750,Nepean Blue Mountains Local Health District,1.00
2784,2784,X750,Nepean Blue Mountains Local Health District,1.00
2785,2785,X750,Nepean Blue Mountains Local Health District,1.00
2785,2785,X850,Western NSW Local Health District,0.00
2786,2786,X750,Nepean Blue Mountains Local Health District,1.00
2787,2787,X710,South Western Sydney Local Health District,0.31
2787,2787,X750,Nepean Blue Mountains Local Health District,0.24
2787,2787,X830,Southern NSW Local Health District,0.01
2787,2787,X850,Western NSW Local Health District,0.43
2790,2790,X750,Nepean Blue Mountains Local Health District,0.89
2790,2790,X850,Western NSW Local Health District,0.11
2791,2791,X850,Western NSW Local Health District,1.00
2792,2792,X850,Western NSW Local Health District,1.00
2793,2793,X850,Western NSW Local Health District,1.00
2794,2794,X840,Murrumbidgee Local Health District,0.15
2794,2794,X850,Western NSW Local Health District,0.85
2795,2795,X750,Nepean Blue Mountains Local Health District,0.07
2795,2795,X850,Western NSW Local Health District,0.93
2797,2797,X850,Western NSW Local Health District,1.00
2798,2798,X850,Western NSW Local Health District,1.00
2799,2799,X850,Western NSW Local Health District,1.00
2800,2800,X850,Western NSW Local Health District,1.00
2803,2803,X840,Murrumbidgee Local Health District,1.00
2804,2804,X850,Western NSW Local Health District,1.00
2805,2805,X850,Western NSW Local Health District,1.00
2806,2806,X850,Western NSW Local Health District,1.00
2807,2807,X840,Murrumbidgee Local Health District,0.22
2807,2807,X850,Western NSW Local Health District,0.78
2808,2808,X840,Murrumbidgee Local Health District,0.68
2808,2808,X850,Western NSW Local Health District,0.32
2809,2809,X850,Western NSW Local Health District,1.00
2810,2810,X850,Western NSW Local Health District,1.00
2817,2817,X850,Western NSW Local Health District,1.00
2818,2818,X850,Western NSW Local Health District,1.00
2820,2820,X850,Western NSW Local Health District,1.00
2821,2821,X850,Western NSW Local Health District,1.00
2822,2822,X850,Western NSW Local Health District,1.00
2823,2823,X850,Western NSW Local Health District,1.00
2824,2824,X850,Western NSW Local Health District,1.00
2825,2825,X850,Western NSW Local Health District,1.00
2826,2826,X850,Western NSW Local Health District,1.00
2827,2827,X850,Western NSW Local Health District,1.00
2828,2828,X850,Western NSW Local Health District,1.00
2829,2829,X850,Western NSW Local Health District,1.00
2830,2830,X850,Western NSW Local Health District,1.00
2831,2831,X850,Western NSW Local Health District,1.00
2832,2832,X850,Western NSW Local Health District,1.00
2833,2833,X800,Hunter New England Local Health District,0.12
2833,2833,X850,Western NSW Local Health District,0.88
2834,2834,X850,Western NSW Local Health District,1.00
2835,2835,X850,Western NSW Local Health District,1.00
2835,2835,X860,Far West Local Health District,0.00
2836,2836,X860,Far West Local Health District,1.00
2838,2838,X850,Western NSW Local Health District,1.00
2839,2839,X850,Western NSW Local Health District,1.00
2840,2840,X850,Western NSW Local Health District,0.72
2840,2840,X860,Far West Local Health District,0.28
2842,2842,X850,Western NSW Local Health District,1.00
2843,2843,X850,Western NSW Local Health District,1.00
2844,2844,X850,Western NSW Local Health District,1.00
2845,2845,X750,Nepean Blue Mountains Local Health District,1.00
2846,2846,X750,Nepean Blue Mountains Local Health District,1.00
2847,2847,X750,Nepean Blue Mountains Local Health District,1.00
2848,2848,X750,Nepean Blue Mountains Local Health District,0.07
2848,2848,X850,Western NSW Local Health District,0.93
2849,2849,X750,Nepean Blue Mountains Local Health District,0.30
2849,2849,X800,Hunter New England Local Health District,0.00
2849,2849,X850,Western NSW Local Health District,0.69
2850,2850,X750,Nepean Blue Mountains Local Health District,0.01
2850,2850,X800,Hunter New England Local Health District,0.02
2850,2850,X850,Western NSW Local Health District,0.97
2852,2852,X850,Western NSW Local Health District,1.00
2864,2864,X850,Western NSW Local Health District,1.00
2865,2865,X850,Western NSW Local Health District,1.00
2866,2866,X850,Western NSW Local Health District,1.00
2867,2867,X850,Western NSW Local Health District,1.00
2868,2868,X850,Western NSW Local Health District,1.00
2869,2869,X850,Western NSW Local Health District,1.00
2870,2870,X850,Western NSW Local Health District,1.00
2871,2871,X850,Western NSW Local Health District,1.00
2873,2873,X850,Western NSW Local Health District,1.00
2874,2874,X850,Western NSW Local Health District,1.00
2875,2875,X850,Western NSW Local Health District,1.00
2876,2876,X850,Western NSW Local Health District,1.00
2877,2877,X850,Western NSW Local Health District,1.00
2878,2878,X840,Murrumbidgee Local Health District,0.08
2878,2878,X860,Far West Local Health District,0.92
2879,2879,X860,Far West Local Health District,1.00
2880,2880,X860,Far West Local Health District,1.00
2898,2898,X720,South Eastern Sydney Local Health District,0.98
3644,3644,X840,Murrumbidgee Local Health District,0.44
3691,3691,X840,Murrumbidgee Local Health District,0.01
3707,3707,X840,Murrumbidgee Local Health District,0.03
3730,3730,X840,Murrumbidgee Local Health District,0.00
3888,3888,X830,Southern NSW Local Health District,0.00
4211,4211,X810,Northern NSW Local Health District,0.00
4223,4223,X810,Northern NSW Local Health District,0.00
4224,4224,X810,Northern NSW Local Health District,0.00
4225,4225,X810,Northern NSW Local Health District,0.00
4228,4228,X810,Northern NSW Local Health District,0.00
4275,4275,X810,Northern NSW Local Health District,0.00
4287,4287,X810,Northern NSW Local Health District,0.00
4310,4310,X810,Northern NSW Local Health District,0.00
4370,4370,X800,Hunter New England Local Health District,0.00
4373,4373,X800,Hunter New England Local Health District,0.00
4373,4373,X810,Northern NSW Local Health District,0.00
4374,4374,X800,Hunter New England Local Health District,0.00
4375,4375,X800,Hunter New England Local Health District,0.35
4377,4377,X800,Hunter New England Local Health District,0.83
4378,4378,X800,Hunter New England Local Health District,0.00
4380,4380,X800,Hunter New England Local Health District,0.10
4382,4382,X800,Hunter New England Local Health District,0.00
4383,4383,X800,Hunter New England Local Health District,0.59
4385,4385,X800,Hunter New England Local Health District,0.29
4388,4388,X800,Hunter New England Local Health District,0.00
4390,4390,X800,Hunter New England Local Health District,0.00
4486,4486,X850,Western NSW Local Health District,0.00
4490,4490,X850,Western NSW Local Health District,0.00
4494,4494,X800,Hunter New England Local Health District,0.00
4496,4496,X800,Hunter New England Local Health District,0.00
4498,4498,X800,Hunter New England Local Health District,0.00
